,Date,Airline,Origin,Destination,DepTime,DepDelay,ArrTime,ArrDelay,AirTime,Distance,FlightNumber
180,2018-11-24,Delta Air Lines Inc.,SFO,JFK,2209.0,0.0,614.0,0.0,285.0,2586.0,1817
181,2018-11-29,Delta Air Lines Inc.,PIT,ATL,1944.0,0.0,2125.0,0.0,80.0,526.0,2174
182,2018-11-29,Delta Air Lines Inc.,ATL,IND,720.0,0.0,859.0,1.0,67.0,432.0,2196
183,2018-11-29,Delta Air Lines Inc.,PIT,ATL,601.0,1.0,758.0,0.0,74.0,526.0,2290
184,2018-11-29,Delta Air Lines Inc.,LAS,JFK,602.0,0.0,1332.0,0.0,249.0,2248.0,2423
185,2018-11-29,Delta Air Lines Inc.,JFK,MCO,1955.0,0.0,2252.0,0.0,135.0,944.0,2992
186,2018-11-30,Delta Air Lines Inc.,SAT,ATL,630.0,5.0,935.0,0.0,107.0,874.0,774
187,2018-11-02,Delta Air Lines Inc.,DTW,MSY,838.0,0.0,1041.0,28.0,157.0,926.0,2411
188,2018-11-02,Delta Air Lines Inc.,LAX,SFO,828.0,0.0,1010.0,3.0,57.0,337.0,2782
189,2018-11-03,Delta Air Lines Inc.,FSD,ATL,557.0,0.0,910.0,0.0,114.0,954.0,1351
190,2018-11-03,Delta Air Lines Inc.,ATL,DFW,25.0,160.0,151.0,168.0,117.0,731.0,1669
191,2018-11-03,Delta Air Lines Inc.,FLL,ATL,908.0,0.0,1048.0,0.0,76.0,581.0,2326
192,2018-11-03,Delta Air Lines Inc.,DCA,ATL,1106.0,0.0,1254.0,0.0,86.0,547.0,2460
193,2018-11-03,Delta Air Lines Inc.,ATL,VPS,1510.0,0.0,1514.0,0.0,44.0,250.0,2802
194,2018-11-04,Delta Air Lines Inc.,BOS,LGA,1754.0,0.0,1922.0,0.0,46.0,184.0,914
195,2018-11-04,Delta Air Lines Inc.,ATL,ORD,920.0,0.0,1009.0,0.0,89.0,606.0,972
